Show_Name,Gross,Performances,Average_Paid_Ticket,0,1,2,3,4
Aladdin,50087300.0,274,107.38764705882352,Adam Jacobs,Courtney Reed,Clifton Davis,Jonathan Freeman,Brian Gonzales
Chicago,22774270.0,272,87.16029411764707,Joel Grey,James Naughton,Bebe Neuwirth,Ann Reinking,Marcia Lewis
Come From Away,40070175.0,272,138.4955882352941,Petrina Bromley,Geno Carr,Jenn Colella,Joel Hatch,Rodney Hicks
Company,8094242.0,208,65.95692307692308,Katrina Lenk,Patti LuPone,Terence Archie,Etai Benson,Matt Doyle
Dear Evan Hansen,57460540.0,272,211.69676470588232,Ben Platt,Laura Dreyfuss,Mike Faist,Kristolyn Lloyd,Michael Park
Hamilton,104598646.0,272,286.12470588235294,Daveed Diggs,Jonathan Groff,Christopher Jackson,Javier Muñoz,Okieriete Onaodowan
Mean Girls,35993596.0,190,153.28708333333336,Erika Henningsen,Taylor Louderman,Ashley Park,Kate Rockwell,Kerry Butler
Take Me Out,351023.0,9,55.04,Jesse Williams,Julian Cihi,Hiram Delgado,Carl Lundstedt,Ken Marks
The Lion King,74753832.0,275,160.54735294117646,Gina Breedlove,Kevin Cahoon,Iresol Cardona,Max Casella,Sheila Gibbs
The Music Man,24453746.0,413,57.10480769230768,Sutton Foster,Hugh Jackman,Shuler Hensley,Jayne Houdyshell,Jefferson Mays
West Side Story,1403667.0,8,107.64,Shereen Pimentel,Isaac Powell,Yesenia Ayala,Amar Ramasar,Marissa Brown
Wicked,61161559.0,274,120.82882352941178,Kristin Chenoweth,Idina Menzel,Michelle Federer,Christopher Fitzgerald,Joel Grey
